date,scope,new_claims
2026-01-01,GO,406
2026-02-01,GO,561
2026-03-01,GO,676
2026-04-01,GO,641
2026-05-01,GO,704
2020-09-01,AC,11
2020-10-01,AC,12
2020-11-01,AC,11
2020-12-01,AC,10
2021-01-01,AC,9
2021-02-01,AC,9
2021-03-01,AC,13
2021-04-01,AC,17
2021-05-01,AC,14
2021-06-01,AC,5
2021-07-01,AC,16
2021-08-01,AC,16
2021-09-01,AC,12
2021-10-01,AC,8
2021-11-01,AC,14
2021-12-01,AC,10
2022-01-01,AC,12
2022-02-01,AC,21
2022-03-01,AC,20
2022-04-01,AC,27
2022-05-01,AC,17
2022-06-01,AC,10
2022-07-01,AC,30
2022-08-01,AC,28
2022-09-01,AC,13
2022-10-01,AC,20
2022-11-01,AC,15
2022-12-01,AC,13
2023-01-01,AC,17
2023-02-01,AC,12
2023-03-01,AC,20
2023-04-01,AC,16
2023-05-01,AC,19
2023-06-01,AC,17
2023-07-01,AC,17
2023-08-01,AC,21
2023-09-01,AC,18
2023-10-01,AC,15
2023-11-01,AC,7
2023-12-01,AC,16
2024-01-01,AC,11
2024-02-01,AC,18
2024-03-01,AC,25
2024-04-01,AC,31
2024-05-01,AC,20
2024-06-01,AC,23
2024-07-01,AC,21
2024-08-01,AC,17
2024-09-01,AC,32
2024-10-01,AC,39
2024-11-01,AC,25
2024-12-01,AC,28
2025-01-01,AC,23
2025-02-01,AC,28
2025-03-01,AC,31
2025-04-01,AC,35
2025-05-01,AC,19
2025-06-01,AC,20
2025-07-01,AC,29
2025-08-01,AC,31
2025-09-01,AC,19
2025-10-01,AC,18
2025-11-01,AC,32
2025-12-01,AC,24
2026-01-01,AC,24
2026-02-01,AC,23
2026-03-01,AC,40
2026-04-01,AC,40
2026-05-01,AC,41
